identifiant_contrat;code_etablissement;code_produit;type_produit;date_ouverture;date_echeance;montant_initial;montant_restant_du;devise;type_taux;taux_dar;duree_initiale_mois;identifiant_tiers;statut_contrat;segment_clientele
C000032;ETB001;PRET_CONSO;CREDIT;2022-08-04;2038-07-05;484390.69;92524.91;EUR;FIXE;1.6302;120;T000500;ACTIF;PME
C000033;ETB001;PRET_CONSO;CREDIT;2017-04-28;2027-06-20;128307.73;95389.92;EUR;REVISABLE;;300;T000268;CONTENTIEUX;ETI
C000034;ETB001;CREDIT_BAIL;CREDIT;2018-11-04;2038-07-01;434206.14;62294.08;EUR;FIXE;3.8917;60;T000198;CONTENTIEUX;PME
C000035;ETB001;LIVRET_A;EPARGNE;2020-05-01;;416025.3;;EUR;;;;T000188;ACTIF;PARTICULIER
C000036;ETB001;DECOUVERT;CREDIT;2020-08-08;2027-05-31;0;56074.32;EUR;VARIABLE;;240;T000205;ACTIF;
C000037;ETB001;LIVRET_A;EPARGNE;2022-03-07;;456847.34;;EUR;;;;T000112;ACTIF;PME
C000038;ETB001;PRET_IMMO;CREDIT;2017-09-23;2035-02-04;152527.08;34767.27;EUR;FIXE;1.6354;300;T000394;ACTIF;ETI
C000039;ETB001;LIVRET_A;EPARGNE;2021-12-20;;67669.86;;EUR;;;;T000372;CLOTURE;PME
C000040;ETB001;DECOUVERT;CREDIT;2020-11-29;2036-03-28;284561.7;222130.55;EUR;REVISABLE;;240;T000025;ACTIF;
C000041;ETB001;PEL;EPARGNE;2023-04-30;;116842.33;;EUR;;;;T000371;ACTIF;
C000042;ETB001;PRET_IMMO;CREDIT;2015-07-06;2029-09-22;352668.15;259710.7;EUR;REVISABLE;;120;T000125;ACTIF;PME
C000043;ETB001;PEL;EPARGNE;2019-06-09;;192772.22;;EUR;;;;T000204;ACTIF;
C000044;ETB001;PRET_CONSO;CREDIT;2017-10-21;2034-06-12;335060.21;198722.46;EUR;VARIABLE;;300;T000115;ACTIF;ETI
C000045;ETB001;DAV;DEPOT;2021-04-14;;370109.47;;EUR;;;;T000353;ACTIF;PME
C000046;ETB001;LIVRET_A;EPARGNE;2017-03-07;;160416.01;;XXX;;;;T000354;ACTIF;PME
C000047;ETB001;LIVRET_A;EPARGNE;2020-04-16;;426348.62;;EUR;;;;T000273;CLOTURE;ETI
C000048;ETB001;PEL;EPARGNE;2016-06-07;;50171.02;;EUR;;;;T000172;ACTIF;ETI
C000049;ETB001;CREDIT_BAIL;CREDIT;2017-01-24;2036-04-26;431222.07;368078.08;EUR;VARIABLE;;180;T000096;CONTENTIEUX;PARTICULIER
C000050;ETB001;DAV;DEPOT;2015-06-12;;25858.14;;EUR;;;;T000492;ACTIF;PME
C000051;ETB001;LIVRET_A;EPARGNE;2022-05-09;;343300.58;;EUR;;;;T000130;ACTIF;PARTICULIER
C000052;ETB001;DAV;DEPOT;2017-10-04;;175003.14;;EUR;;;;T000149;CLOTURE;PARTICULIER
C000053;ETB001;CAT;DEPOT;2017-06-26;;210007.9;;EUR;;;;T000454;ACTIF;ETI
C000054;ETB001;DECOUVERT;CREDIT;2019-05-09;2027-04-10;409089.23;64558.77;EUR;FIXE;0.7902;60;T000005;ACTIF;PME
C000055;ETB001;CREDIT_BAIL;CREDIT;2023-12-17;2028-12-30;336213.64;132682.77;EUR;VARIABLE;;180;T000425;ACTIF;ETI
C000056;ETB001;PRET_IMMO;CREDIT;2022-11-14;2036-02-27;111322.62;41310.62;EUR;FIXE;3.3969;180;T000077;ACTIF;PARTICULIER
C000057;ETB001;CAT;DEPOT;2018-02-07;;311149.85;;EUR;;;;T000379;CLOTURE;
C000058;ETB001;CAT;DEPOT;2019-11-10;;494106.96;;EUR;;;;T000069;CLOTURE;ETI
C000059;ETB001;PRET_CONSO;CREDIT;2022-03-22;2028-09-03;167852.21;66294.78;EUR;VARIABLE;;120;T000117;CLOTURE;PARTICULIER
C000060;ETB001;PEL;EPARGNE;2016-07-18;;157007.81;;EUR;;;;T000292;ACTIF;
C000061;ETB001;LIVRET_A;EPARGNE;2015-04-07;;257410.82;;EUR;;;;T000320;CONTENTIEUX;PME
C000062;ETB001;PRET_CONSO;CREDIT;2018-01-13;2039-06-12;444818.64;269844.55;EUR;FIXE;3.3692;300;T000283;ACTIF;
C000063;ETB001;PRET_CONSO;CREDIT;2023-07-05;2040-11-18;34470.99;6715.26;EUR;REVISABLE;;180;T000015;ACTIF;PME
C000064;ETB001;LIVRET_A;EPARGNE;2019-06-14;;92594.03;;EUR;;;;T000487;ACTIF;PME
C000065;ETB001;DAV;DEPOT;2020-09-04;;143854.46;;EUR;;;;T000394;ACTIF;ETI
C000066;ETB001;DAV;DEPOT;2015-02-11;;306895.05;;EUR;;;;T000468;CLOTURE;ETI
C000067;ETB001;CAT;DEPOT;2023-02-26;;411081.0;;EUR;;;;T000240;ACTIF;ETI
C000068;ETB001;DECOUVERT;CREDIT;2018-02-06;2040-07-25;223293.49;44581.38;EUR;VARIABLE;;240;T000043;ACTIF;PARTICULIER
C000069;ETB001;CREDIT_BAIL;CREDIT;2022-03-26;2024-11-10;211457.41;84046.93;EUR;REVISABLE;;60;T000061;ACTIF;ETI
C000070;ETB001;PEL;EPARGNE;2017-08-08;;157691.18;;EUR;;;;T000092;ACTIF;PARTICULIER
C000071;ETB001;PEL;EPARGNE;2020-09-02;;176892.71;;EUR;;;;T000287;ACTIF;
C000072;ETB001;CAT;DEPOT;2021-09-01;;140997.3;;EUR;;;;T000115;ACTIF;PARTICULIER
C000073;ETB001;LIVRET_A;EPARGNE;2023-04-17;;253610.88;;EUR;;;;T000242;ACTIF;PME
C000074;ETB001;CREDIT_BAIL;CREDIT;2016-04-09;2026-08-12;12509.51;3987.3;EUR;VARIABLE;;300;T000347;ACTIF;PME
C000075;ETB001;PRET_CONSO;CREDIT;2018-10-31;2033-11-30;316066.59;191725.04;EUR;VARIABLE;;240;T000494;ACTIF;
C000076;ETB001;PRET_CONSO;CREDIT;2021-04-07;2030-08-01;318073.83;76894.89;EUR;REVISABLE;;300;T000443;CLOTURE;PME
C000077;ETB001;PRET_IMMO;CREDIT;2016-10-24;2035-03-20;335654.91;117801.02;EUR;REVISABLE;;180;T000241;ACTIF;PME
C000078;ETB001;PRET_IMMO;CREDIT;2023-01-13;2025-05-19;261348.63;44549.03;EUR;FIXE;2.2826;300;T000291;CLOTURE;ETI
C000079;ETB001;LIVRET_A;EPARGNE;2019-05-06;;427080.95;;EUR;;;;T000288;ACTIF;PME
C000080;ETB001;CAT;DEPOT;2022-12-17;;92695.56;;EUR;;;;T000028;ACTIF;
C000081;ETB001;DECOUVERT;CREDIT;2023-03-17;2038-09-03;483521.03;215426.44;EUR;FIXE;4.963;180;T000081;ACTIF;PARTICULIER
C000082;ETB001;DAV;DEPOT;2019-10-02;;320019.95;;EUR;;;;T000365;CONTENTIEUX;
C000083;ETB001;PEL;EPARGNE;2016-05-01;;86322.51;;EUR;;;;T000043;CLOTURE;
C000084;ETB001;PRET_CONSO;CREDIT;2017-07-05;2038-02-02;315154.37;69416.89;EUR;FIXE;4.9328;60;T000031;ACTIF;PME
C000085;ETB001;PEL;EPARGNE;2016-08-03;;453198.04;;EUR;;;;T000131;ACTIF;PARTICULIER
C000086;ETB001;PRET_CONSO;CREDIT;2016-12-23;2037-07-24;171469.36;123658.97;EUR;REVISABLE;;300;T000360;ACTIF;PME
C000087;ETB001;DAV;DEPOT;2022-04-02;;168348.76;;EUR;;;;T000142;ACTIF;PARTICULIER
C000088;ETB001;CAT;DEPOT;2019-09-23;;125500.04;;EUR;;;;T000487;CLOTURE;PARTICULIER
C000089;ETB001;CREDIT_BAIL;CREDIT;2018-04-26;2038-08-14;86094.62;48523.61;EUR;FIXE;4.8784;240;T000283;ACTIF;ETI
C000090;ETB001;DECOUVERT;CREDIT;2023-10-16;2030-04-14;222047.42;184694.11;EUR;VARIABLE;;180;T000026;CONTENTIEUX;
C000091;ETB001;DAV;DEPOT;2015-04-12;;101373.9;;EUR;;;;T000373;ACTIF;PME
C000092;ETB001;PRET_CONSO;CREDIT;2022-08-04;2035-05-11;221716.02;124461.57;EUR;FIXE;2.7845;120;T000254;ACTIF;
C000093;ETB001;CAT;DEPOT;2017-10-20;;104010.4;;EUR;;;;T000089;CONTENTIEUX;ETI
C000094;ETB001;PRET_CONSO;CREDIT;2015-09-07;2028-09-07;400284.26;69381.09;EUR;REVISABLE;;300;T000425;CONTENTIEUX;PME
C000095;ETB001;DAV;DEPOT;2020-07-12;;367680.79;;EUR;;;;T000337;CONTENTIEUX;
C000096;ETB001;DECOUVERT;CREDIT;2015-07-13;2040-01-26;6832.33;2583.36;EUR;VARIABLE;;300;T000180;ACTIF;PME
C000097;ETB001;LIVRET_A;EPARGNE;2019-11-10;;94591.66;;EUR;;;;T000363;CLOTURE;ETI
C000098;ETB001;PEL;EPARGNE;2023-04-14;;18756.15;;EUR;;;;T000017;ACTIF;
C000099;ETB001;PRET_CONSO;CREDIT;2022-10-21;2032-02-23;159961.0;17905.17;EUR;REVISABLE;;120;T000370;ACTIF;PARTICULIER
C000100;ETB001;DECOUVERT;CREDIT;2019-03-11;2027-11-03;44890.92;7623.97;EUR;FIXE;0.7359;240;T000030;ACTIF;PME
C000101;ETB001;DAV;DEPOT;2022-08-19;;465033.98;;EUR;;;;T000103;ACTIF;PME
C000102;ETB001;PEL;EPARGNE;2022-12-09;;340880.79;;EUR;;;;T000267;CONTENTIEUX;ETI
C000103;ETB001;DAV;DEPOT;2018-11-21;;102551.62;;EUR;;;;T000012;ACTIF;PARTICULIER
C000104;ETB001;LIVRET_A;EPARGNE;2019-04-09;;463237.8;;EUR;;;;T000032;CLOTURE;
C000105;ETB001;PEL;EPARGNE;2016-07-15;;276936.8;;EUR;;;;T000104;ACTIF;
C000106;ETB001;PRET_IMMO;CREDIT;2016-05-16;2034-08-06;498086.11;52233.58;EUR;REVISABLE;;180;T000041;ACTIF;ETI
C000107;ETB001;PRET_CONSO;CREDIT;2017-07-02;2032-12-30;440451.26;105747.18;EUR;FIXE;1.9128;300;T000317;CLOTURE;PME
C000108;ETB001;CREDIT_BAIL;CREDIT;2016-04-19;2033-04-14;482026.39;257620.59;EUR;VARIABLE;;300;T000166;ACTIF;PME
C000109;ETB001;CAT;DEPOT;2023-05-30;;189294.46;;EUR;;;;T000222;CLOTURE;
C000110;ETB001;DECOUVERT;CREDIT;2015-02-26;2035-05-05;369620.72;240230.46;EUR;VARIABLE;;120;T000076;CONTENTIEUX;
C000111;ETB001;DAV;DEPOT;2022-09-08;;350348.75;;EUR;;;;T000191;ACTIF;PARTICULIER
C000112;ETB001;LIVRET_A;EPARGNE;2021-08-05;;22227.22;;EUR;;;;T000353;ACTIF;
C000113;ETB001;DAV;DEPOT;2022-11-03;;475754.0;;EUR;;;;T000369;ACTIF;
C000114;ETB001;PEL;EPARGNE;2021-04-25;;400572.29;;EUR;;;;T000009;CLOTURE;ETI
C000115;ETB001;LIVRET_A;EPARGNE;2017-06-22;;213045.77;;EUR;;;;T000177;CONTENTIEUX;PARTICULIER
C000116;ETB001;DECOUVERT;CREDIT;2017-04-02;2037-02-28;204496.42;167598.14;EUR;REVISABLE;;180;T000278;CLOTURE;PME
C000117;ETB001;CREDIT_BAIL;CREDIT;2022-11-29;2029-03-13;319243.59;281234.06;EUR;FIXE;4.3186;180;T000028;ACTIF;
C000118;ETB001;DECOUVERT;CREDIT;2023-10-17;2026-04-03;82744.25;23733.21;EUR;FIXE;3.4037;180;T000343;ACTIF;
C000119;ETB001;LIVRET_A;EPARGNE;2017-06-26;;55341.06;;EUR;;;;T000226;CONTENTIEUX;PME
C000120;ETB001;CREDIT_BAIL;CREDIT;2020-06-30;2027-09-10;149947.06;69704.79;EUR;FIXE;4.0488;60;T000235;ACTIF;
C000121;ETB001;PRET_CONSO;CREDIT;2022-09-23;2029-05-06;4297.87;1815.82;EUR;REVISABLE;;180;T000239;ACTIF;ETI
C000122;ETB001;CAT;DEPOT;2017-09-26;;128966.55;;EUR;;;;T000184;CLOTURE;PME
C000123;ETB001;DECOUVERT;CREDIT;2016-04-27;2034-12-14;161495.65;55775.83;EUR;VARIABLE;;120;T000263;ACTIF;ETI
C000124;ETB001;CREDIT_BAIL;CREDIT;2022-06-20;2027-05-02;225129.16;90160.0;EUR;VARIABLE;;120;T000236;ACTIF;
C000125;ETB001;PEL;EPARGNE;2019-05-12;;370166.61;;EUR;;;;T000404;ACTIF;ETI
C000126;ETB001;DECOUVERT;CREDIT;2016-12-21;2024-02-28;484842.94;198924.74;EUR;FIXE;0.9759;180;T000251;ACTIF;PME
C000127;ETB001;CREDIT_BAIL;CREDIT;2022-09-20;2025-12-23;332352.86;289045.05;EUR;FIXE;2.05;120;T000300;ACTIF;PME
C000128;ETB001;PRET_IMMO;CREDIT;2020-01-14;2025-12-20;263212.85;178798.7;EUR;FIXE;4.1022;300;T000447;ACTIF;
C000129;ETB001;CAT;DEPOT;2019-12-14;;186091.77;;EUR;;;;T000429;CLOTURE;PARTICULIER
C000130;ETB001;CAT;DEPOT;2018-11-23;;314924.36;;EUR;;;;T000351;ACTIF;PARTICULIER
C000131;ETB001;DAV;DEPOT;2022-01-18;;21874.35;;EUR;;;;T000174;CONTENTIEUX;PME
C000132;ETB001;LIVRET_A;EPARGNE;2021-05-12;;366008.16;;EUR;;;;T000117;ACTIF;PME
C000133;ETB001;LIVRET_A;EPARGNE;2020-12-03;;328091.96;;EUR;;;;T000325;ACTIF;ETI
C000134;ETB001;LIVRET_A;EPARGNE;2023-05-01;;305261.7;;EUR;;;;T000151;CLOTURE;PARTICULIER
C000135;ETB001;LIVRET_A;EPARGNE;2018-11-23;;275004.83;;EUR;;;;T000306;CLOTURE;ETI
C000136;ETB001;LIVRET_A;EPARGNE;2021-11-25;;14919.79;;EUR;;;;T000129;CONTENTIEUX;
C000137;ETB001;DAV;DEPOT;2020-05-04;;446114.25;;EUR;;;;T000308;ACTIF;PARTICULIER
C000138;ETB001;CREDIT_BAIL;CREDIT;2018-10-24;2029-09-18;369510.94;164709.21;EUR;REVISABLE;;120;T000007;ACTIF;ETI
C000139;ETB001;PRET_IMMO;CREDIT;2015-09-05;2025-07-13;379880.48;313883.83;EUR;VARIABLE;;240;T000461;ACTIF;
C000140;ETB001;PEL;EPARGNE;2018-04-01;;444550.24;;EUR;;;;T000457;CLOTURE;PARTICULIER
C000141;ETB001;DAV;DEPOT;2020-10-27;;463611.98;;EUR;;;;T000416;ACTIF;PARTICULIER
C000142;ETB001;CREDIT_BAIL;CREDIT;2023-11-15;2028-03-26;463953.13;330003.14;EUR;REVISABLE;;300;T000385;ACTIF;PARTICULIER
C000143;ETB001;PRET_CONSO;CREDIT;2018-03-21;2031-03-24;161136.26;45734.5;EUR;VARIABLE;;180;T000223;ACTIF;
C000144;ETB001;CREDIT_BAIL;CREDIT;2020-08-12;2028-08-16;17925.13;12270.13;EUR;FIXE;0.6401;120;T000230;ACTIF;PARTICULIER
C000145;ETB001;PEL;EPARGNE;2020-08-21;;9606.62;;EUR;;;;T000346;CLOTURE;
C000146;ETB001;PRET_IMMO;CREDIT;2016-01-20;2039-08-06;93931.37;36509.39;EUR;REVISABLE;;300;T000075;ACTIF;PME
C000147;ETB001;DECOUVERT;CREDIT;2020-09-26;2030-06-10;483529.24;138377.88;EUR;FIXE;1.1664;180;T000195;ACTIF;ETI
C000148;ETB001;DECOUVERT;CREDIT;2015-04-08;2036-09-24;69283.34;20599.18;EUR;FIXE;3.8999;300;T000313;CLOTURE;ETI
C000149;ETB001;CAT;DEPOT;2023-05-21;;336168.4;;EUR;;;;T000133;ACTIF;PME
C000150;ETB001;PEL;EPARGNE;2017-04-29;;254144.46;;EUR;;;;T000259;ACTIF;PME
C000151;ETB001;PRET_IMMO;CREDIT;2019-10-06;2029-11-06;331726.18;236388.5;EUR;FIXE;1.6478;180;T000061;CLOTURE;
C000152;ETB001;CAT;DEPOT;2015-06-30;;302438.9;;EUR;;;;T000069;ACTIF;PARTICULIER
C000153;ETB001;PRET_CONSO;CREDIT;2016-03-20;2030-02-14;329706.79;215643.45;EUR;FIXE;4.7934;180;T000236;ACTIF;
C000154;ETB001;DECOUVERT;CREDIT;2018-11-10;2029-04-14;266866.25;234480.52;EUR;VARIABLE;;240;T000068;CLOTURE;PARTICULIER
C000155;ETB001;DECOUVERT;CREDIT;2023-03-19;2033-08-11;387957.79;330600.75;EUR;REVISABLE;;60;T000416;ACTIF;PME
C000156;ETB001;PRET_IMMO;CREDIT;2017-02-16;2029-01-02;432538.46;234912.8;EUR;VARIABLE;;60;T000101;CLOTURE;
C000157;ETB001;PEL;EPARGNE;2016-10-30;;259506.12;;EUR;;;;T000366;CLOTURE;PARTICULIER
C000158;ETB001;CREDIT_BAIL;CREDIT;2021-09-10;2030-03-28;448480.7;235907.76;EUR;FIXE;2.7551;240;T000153;ACTIF;PARTICULIER
C000159;ETB001;PRET_IMMO;CREDIT;2020-02-29;2031-03-01;309489.33;207417.55;EUR;REVISABLE;;60;T000316;CONTENTIEUX;PARTICULIER
C000160;ETB001;CAT;DEPOT;2021-08-28;;466950.19;;EUR;;;;T000266;CLOTURE;PME
C000161;ETB001;PRET_IMMO;CREDIT;2015-05-15;2037-03-27;33941.27;28289.44;EUR;FIXE;3.1161;300;T000208;CONTENTIEUX;PME
C000162;ETB001;PRET_IMMO;CREDIT;2015-01-25;2024-03-30;41808.53;24675.64;EUR;VARIABLE;;240;T000386;ACTIF;PME
C000163;ETB001;PRET_IMMO;CREDIT;2015-08-10;2029-08-07;33439.29;4527.98;EUR;VARIABLE;;120;T000425;ACTIF;
C000164;ETB001;PRET_IMMO;CREDIT;2016-07-22;2039-11-07;345336.09;51219.56;EUR;FIXE;2.4432;300;T000236;ACTIF;PME
C000165;ETB001;CAT;DEPOT;2016-02-06;;496687.39;;EUR;;;;T000199;CLOTURE;PARTICULIER
C000166;ETB001;LIVRET_A;EPARGNE;2020-12-31;;133180.82;;EUR;;;;T000274;ACTIF;
C000167;ETB001;DECOUVERT;CREDIT;2021-02-05;2026-03-16;33192.86;6949.43;EUR;VARIABLE;;300;T000336;ACTIF;PME
C000168;ETB001;PEL;EPARGNE;2022-09-09;;37423.42;;EUR;;;;T000413;ACTIF;ETI
C000169;ETB001;DAV;DEPOT;2017-06-07;;347398.93;;EUR;;;;T000415;CLOTURE;
C000170;ETB001;PRET_CONSO;CREDIT;2023-08-20;2033-11-08;440734.11;218419.12;EUR;FIXE;4.4854;300;T000145;CLOTURE;PME
C000171;ETB001;DAV;DEPOT;2019-07-03;;111081.2;;EUR;;;;T000378;CONTENTIEUX;PARTICULIER
C000172;ETB001;CREDIT_BAIL;CREDIT;2021-05-13;2032-11-17;215588.16;192406.35;EUR;FIXE;4.0004;60;T000187;ACTIF;ETI
C000173;ETB001;PRET_IMMO;CREDIT;2022-07-30;2039-03-17;133921.71;27403.2;EUR;FIXE;3.1608;300;T000034;CONTENTIEUX;ETI
C000174;ETB001;PRET_CONSO;CREDIT;2019-06-28;2027-01-23;355262.76;266429.56;EUR;REVISABLE;;240;T000274;CLOTURE;PME
C000175;ETB001;CREDIT_BAIL;CREDIT;2021-12-08;2033-02-12;413282.15;281578.12;EUR;REVISABLE;;300;T000032;ACTIF;PARTICULIER
C000176;ETB001;CAT;DEPOT;2023-07-30;;374714.89;;EUR;;;;T000265;ACTIF;PARTICULIER
C000177;ETB001;CREDIT_BAIL;CREDIT;2022-04-05;2038-07-29;455473.64;270320.32;EUR;FIXE;1.0155;60;T000025;ACTIF;PARTICULIER
C000178;ETB001;PRET_IMMO;CREDIT;2021-01-01;2034-06-07;302670.98;106335.4;EUR;VARIABLE;;180;T000391;ACTIF;ETI
C000179;ETB001;DAV;DEPOT;2023-10-25;;209394.97;;EUR;;;;T000440;ACTIF;PARTICULIER
C000180;ETB001;PEL;EPARGNE;2016-01-25;;496784.01;;EUR;;;;T000249;ACTIF;ETI
C000181;ETB001;LIVRET_A;EPARGNE;2023-04-16;;474792.32;;EUR;;;;T000488;CLOTURE;PME
C000182;ETB001;CAT;DEPOT;2023-04-19;;296529.38;;EUR;;;;T000168;ACTIF;PARTICULIER
C000183;ETB001;PRET_CONSO;CREDIT;2020-07-25;2031-02-01;250256.16;87468.61;EUR;REVISABLE;;60;T000025;ACTIF;
C000184;ETB001;CAT;DEPOT;2021-05-12;;149962.51;;EUR;;;;T000427;ACTIF;ETI
C000185;ETB001;PRET_IMMO;CREDIT;2017-11-16;2026-03-30;150709.85;82592.12;EUR;REVISABLE;;120;T000204;CONTENTIEUX;ETI
C000186;ETB001;PEL;EPARGNE;2021-08-27;;393556.23;;EUR;;;;T000128;ACTIF;PME
C000187;ETB001;DECOUVERT;CREDIT;2016-10-28;2024-01-07;437095.52;209669.02;EUR;REVISABLE;;60;T000316;CONTENTIEUX;ETI
C000188;ETB001;PRET_IMMO;CREDIT;2019-07-02;2026-09-09;281621.31;43957.05;EUR;FIXE;1.3944;240;T000307;CONTENTIEUX;
C000189;ETB001;CREDIT_BAIL;CREDIT;2015-01-20;2025-06-24;330570.89;130039.27;EUR;FIXE;4.2696;120;T000071;ACTIF;PARTICULIER
C000190;ETB001;LIVRET_A;EPARGNE;2021-12-26;;339789.04;;EUR;;;;T000389;ACTIF;
C000191;ETB001;CREDIT_BAIL;CREDIT;2018-01-23;2038-12-03;492254.04;77250.46;EUR;REVISABLE;;180;T000327;ACTIF;PME
C000192;ETB001;PEL;EPARGNE;2015-08-18;;8357.55;;EUR;;;;T000004;ACTIF;ETI
C000193;ETB001;PEL;EPARGNE;2020-04-23;;350399.59;;EUR;;;;T000342;ACTIF;PARTICULIER
C000194;ETB001;PRET_IMMO;CREDIT;2020-05-27;2039-11-14;293227.26;200090.68;EUR;VARIABLE;;60;T000141;CLOTURE;PARTICULIER
C000195;ETB001;CREDIT_BAIL;CREDIT;2015-10-14;2028-08-03;199426.96;172692.61;EUR;REVISABLE;;60;T000227;ACTIF;PME
C000196;ETB001;PRET_IMMO;CREDIT;2017-03-13;2039-12-12;211095.58;153272.02;EUR;FIXE;4.4286;240;T000197;CONTENTIEUX;PARTICULIER
C000197;ETB001;PRET_IMMO;CREDIT;2015-04-28;2039-05-19;226837.75;194880.52;EUR;VARIABLE;;300;T000148;ACTIF;PARTICULIER
C000198;ETB001;PRET_CONSO;CREDIT;2023-10-16;2039-12-16;241210.08;106734.21;EUR;VARIABLE;;60;T000096;ACTIF;PME
C000199;ETB001;CAT;DEPOT;2023-09-15;;138896.29;;EUR;;;;T000144;ACTIF;PARTICULIER
C000200;ETB001;CAT;DEPOT;2019-08-17;;154135.94;;EUR;;;;T000009;CLOTURE;ETI
C000201;ETB001;DECOUVERT;CREDIT;2018-08-07;2029-10-08;447181.02;287972.87;EUR;VARIABLE;;240;T000184;ACTIF;PME
C000202;ETB001;CAT;DEPOT;2019-08-29;;302620.39;;EUR;;;;T000419;ACTIF;PME
C000203;ETB001;DECOUVERT;CREDIT;2015-02-26;2033-03-29;119574.6;95861.96;EUR;VARIABLE;;180;T000299;ACTIF;
C000204;ETB001;DECOUVERT;CREDIT;2015-06-09;2026-07-28;437255.98;100693.14;EUR;REVISABLE;;120;T000167;ACTIF;PARTICULIER
C000205;ETB001;DAV;DEPOT;2017-10-26;;189321.8;;EUR;;;;T000483;ACTIF;PME
