identifiant_titre;code_isin;type_titre;emetteur;valeur_nominale;valeur_marche;devise;date_emission;date_maturite
TI000048;FR0018468988;OPCVM;T000295;3669.16;4499.02;EUR;2022-06-27;2034-05-28
TI000049;FR0020578269;OPCVM;T000407;9065.57;5742.38;EUR;2023-08-25;2033-09-19
TI000050;FR0012475459;OBLIGATION;T000006;8447.55;7922.52;EUR;2010-11-30;2029-01-01
TI000051;FR0023840866;OBLIGATION;T000063;4311.59;4577.03;EUR;2017-11-07;2025-04-05
TI000052;FR0089045664;ACTION;T000205;7171.53;9979.59;EUR;2021-08-15;2027-08-11
TI000053;FR0063844056;TCN;T000355;1072.52;6369.3;EUR;2011-10-27;2027-10-19
TI000054;FR0056050910;ACTION;T000468;5669.57;2410.35;EUR;2019-12-07;2033-12-01
TI000055;FR0013115025;ACTION;T000383;5881.52;7567.85;EUR;2013-05-29;2024-03-04
TI000056;FR0046235317;TCN;T000272;4752.19;957.84;EUR;2015-05-15;2024-05-25
TI000057;FR0015941843;OBLIGATION;T000163;1724.65;1620.56;EUR;2011-12-29;2031-06-18
TI000058;FR0071445384;ACTION;T000350;6776.06;2446.68;EUR;2021-01-31;2031-11-24
TI000059;FR0047340510;ACTION;T000382;2984.54;3768.36;EUR;2019-04-09;2028-02-19
TI000060;FR0058248466;TCN;T000183;5937.85;4803.08;EUR;2020-07-03;2033-06-01
TI000061;FR0055718447;OPCVM;T000061;2010.79;8346.28;EUR;2017-06-13;2028-08-10
TI000062;FR0073976308;TCN;T000419;4859.49;1499.97;EUR;2012-12-11;2031-11-26
TI000063;FR0083849585;TCN;T000300;5015.89;2656.84;EUR;2014-08-21;2033-02-27
TI000064;FR0087434886;OBLIGATION;T000122;1880.89;5733.36;EUR;2011-11-24;2030-02-28
TI000065;FR0043758759;OBLIGATION;T000156;8930.25;2186.42;EUR;2011-10-03;2033-08-12
TI000066;FR0056463918;ACTION;T000051;6170.81;1878.7;EUR;2018-03-22;2033-02-20
TI000067;FR0040243323;ACTION;T000027;1843.55;1843.4;EUR;2019-02-12;2027-03-26
TI000068;FR0069337662;ACTION;T000104;5628.1;11612.2;EUR;2020-03-10;2028-09-23
TI000069;FR0026805217;ACTION;T000471;7259.72;2153.64;EUR;2018-05-19;2029-01-30
TI000070;FR0018371941;TCN;T000051;618.46;8678.81;EUR;2023-09-09;2031-09-21
TI000071;FR0077338498;OBLIGATION;T000173;9372.87;8489.17;EUR;2014-11-25;2024-01-11
TI000072;FR0024086313;TCN;T000392;1001.72;5576.69;EUR;2021-10-20;2035-12-26
TI000073;FR0025097261;TCN;T000094;697.93;5515.74;EUR;2012-03-04;2033-04-18
TI000074;FR0017464996;ACTION;T000174;9209.05;10867.69;EUR;2021-12-23;2024-07-03
TI000075;FR0032265043;ACTION;T000354;8660.83;9951.03;EUR;2023-06-02;2031-04-26
TI000076;FR0048493819;ACTION;T000275;1884.53;5338.78;EUR;2014-09-30;2031-06-10
TI000077;FR0040498770;ACTION;T000370;2496.03;3897.54;EUR;2011-05-09;2024-08-18
TI000078;FR0075800555;TCN;T000370;4784.29;11158.93;EUR;2023-11-28;2033-06-16
TI000079;FR0018566386;OPCVM;T000181;2749.37;373.97;EUR;2020-11-02;2033-11-16
TI000080;FR0098881421;ACTION;T000430;6020.83;360.23;EUR;2022-07-30;2028-10-01
TI000081;FR0072645116;TCN;T000015;6314.12;4658.67;EUR;2015-04-16;2027-04-11
TI000082;FR0071626433;OBLIGATION;T000368;4992.51;5740.67;EUR;2023-06-28;2026-11-27
TI000083;FR0036184638;OPCVM;T000170;5106.46;6314.59;EUR;2016-01-09;2032-10-31
TI000084;FR0065767313;OBLIGATION;T000216;8079.83;681.01;EUR;2011-05-06;2027-10-07
TI000085;FR0041486929;OBLIGATION;T000186;3421.53;7992.26;EUR;2010-03-15;2024-02-02
TI000086;FR0055693806;OPCVM;T000385;5887.05;1284.73;EUR;2017-11-19;2027-09-21
TI000087;FR0049666067;OBLIGATION;T000264;287.14;3610.48;EUR;2011-10-03;2027-04-19
TI000088;FR0018620833;TCN;T000471;9369.53;11710.62;EUR;2011-07-05;2028-08-22
TI000089;FR0064813670;ACTION;T000342;3505.91;6487.14;EUR;2017-06-24;2027-05-12
TI000090;FR0071174123;TCN;T000322;2490.38;10021.93;EUR;2012-11-17;2024-12-07
TI000091;FR0084023055;OPCVM;T000157;8666.91;6958.1;EUR;2023-10-31;2035-11-26
TI000092;FR0011149357;OBLIGATION;T000024;4176.74;9183.64;EUR;2019-11-15;2024-02-21
TI000093;FR0033726830;OPCVM;T000419;7588.46;2723.49;EUR;2012-06-08;2034-05-21
TI000094;FR0081736695;OBLIGATION;T000036;5932.35;9981.7;EUR;2022-01-12;2032-11-27
TI000095;FR0053501722;ACTION;T000265;8183.76;4507.09;EUR;2015-01-21;2029-03-11
TI000096;FR0068261567;TCN;T000143;4992.14;8636.99;EUR;2018-03-19;2029-12-06
TI000097;FR0057963988;TCN;T000386;2233.77;10677.88;EUR;2023-10-21;2028-04-03
TI000098;FR0078773615;TCN;T000075;9526.52;10794.34;EUR;2012-08-01;2026-04-12
TI000099;FR0099474498;ACTION;T000469;8450.12;974.58;EUR;2018-02-04;2035-08-30
TI000100;FR0010980910;ACTION;T000212;5083.89;2800.56;EUR;2018-06-07;2033-08-04
TI000101;FR0036627026;OPCVM;T000308;2534.76;557.07;EUR;2019-02-15;2033-04-16
TI000102;FR0072351518;ACTION;T000426;3009.22;8167.62;EUR;2017-11-06;2034-04-23
TI000103;FR0052158061;OPCVM;T000054;6969.26;2177.35;EUR;2014-03-02;2033-04-28
TI000104;FR0096743858;OPCVM;T000028;6686.03;5036.0;EUR;2022-07-08;2025-04-22
TI000105;FR0073764819;OPCVM;T000236;6315.04;3534.5;EUR;2016-08-28;2033-01-16
TI000106;FR0012286367;TCN;T000365;1207.19;6344.67;EUR;2023-03-17;2028-04-16
TI000107;FR0029582258;OPCVM;T000255;1759.09;548.22;EUR;2015-09-17;2034-11-06
TI000108;FR0026562955;OPCVM;T000406;5845.96;3994.1;EUR;2018-03-01;2024-07-27
TI000109;FR0038667457;TCN;T000205;6603.9;242.03;EUR;2022-09-19;2029-08-20
TI000110;FR0033376043;OBLIGATION;T000061;3777.95;6993.69;EUR;2020-11-02;2032-11-10
TI000111;FR0036236910;TCN;T000128;7944.19;4267.49;EUR;2021-03-02;2030-12-13
TI000112;FR0039240412;OBLIGATION;T000403;3797.0;5125.46;EUR;2014-08-06;2034-09-18
TI000113;FR0063959350;OBLIGATION;T000350;1707.17;4619.55;EUR;2012-12-24;2029-02-15
TI000114;FR0075079825;OBLIGATION;T000186;2915.34;6386.3;EUR;2018-04-10;2034-04-05
TI000115;FR0024580523;TCN;T000222;7465.24;6761.26;EUR;2021-09-09;2031-10-16
TI000116;FR0057581539;OPCVM;T000251;4392.95;576.87;EUR;2021-06-16;2028-04-07
TI000117;FR0049986179;ACTION;T000332;1210.76;11911.05;EUR;2021-08-03;2029-04-25
TI000118;FR0047846795;ACTION;T000308;7854.48;11189.77;EUR;2016-11-23;2031-10-09
TI000119;FR0086320210;ACTION;T000380;1694.33;9021.42;EUR;2015-10-03;2029-02-20
TI000120;FR0072274267;OBLIGATION;T000050;5358.0;11290.01;EUR;2010-10-12;2034-07-21
TI000121;FR0096169691;TCN;T000486;1021.62;2298.79;EUR;2022-01-04;2024-06-25
TI000122;FR0019204295;OBLIGATION;T000417;3654.15;9989.47;EUR;2016-04-13;2029-11-24
TI000123;FR0038281136;ACTION;T000040;9692.12;6080.02;EUR;2015-04-02;2034-08-23
TI000124;FR0076337966;TCN;T000187;5226.55;9217.66;EUR;2021-01-14;2035-10-26
TI000125;FR0087026390;ACTION;T000345;4554.13;3653.92;EUR;2021-03-31;2034-10-24
TI000126;FR0045750801;OPCVM;T000296;1036.99;4295.21;EUR;2014-11-19;2032-10-22
TI000127;FR0067950165;TCN;T000393;579.67;5323.03;EUR;2010-06-23;2030-04-16
TI000128;FR0096162227;OPCVM;T000200;6021.94;7196.04;EUR;2010-04-11;2033-07-10
TI000129;FR0022321729;TCN;T000398;1575.08;11353.84;EUR;2019-12-16;2029-01-25
TI000130;FR0051019240;TCN;T000318;8071.1;3376.63;EUR;2016-07-18;2025-02-02
TI000131;FR0023282900;OPCVM;T000084;7629.28;2802.56;EUR;2021-01-25;2035-08-19
TI000132;FR0097883109;OPCVM;T000270;4815.72;8096.66;EUR;2023-04-13;2032-05-06
TI000133;FR0061265502;ACTION;T000114;892.05;2069.5;EUR;2018-11-15;2028-01-16
TI000134;FR0035000337;OPCVM;T000123;6570.7;10960.67;EUR;2013-07-18;2033-06-06
TI000135;FR0078515705;OPCVM;T000489;1781.17;10611.32;EUR;2014-10-25;2032-08-13
TI000136;FR0077522841;ACTION;T000173;549.73;11185.9;EUR;2015-05-18;2035-10-23
TI000137;FR0057854992;ACTION;T000115;435.27;9499.51;EUR;2023-09-16;2028-02-15
TI000138;FR0034056331;ACTION;T000260;3946.97;10331.64;EUR;2019-08-07;2026-01-05
TI000139;FR0031380254;ACTION;T000064;1964.53;2908.05;EUR;2021-09-26;2026-10-02
TI000140;FR0090656213;OPCVM;T000176;7220.11;7617.79;EUR;2022-01-20;2028-08-26
TI000141;FR0014634480;ACTION;T000457;715.41;9654.0;EUR;2012-10-25;2025-08-14
TI000142;FR0084945497;OBLIGATION;T000375;3874.83;9766.92;EUR;2016-10-27;2024-01-21
TI000143;FR0064093734;OBLIGATION;T000115;6580.71;8267.86;EUR;2020-08-09;2026-03-22
TI000144;FR0068535031;OPCVM;T000320;7811.23;9072.25;EUR;2014-02-10;2029-04-11
TI000145;FR0048728705;TCN;T000467;1961.39;9464.31;EUR;2016-04-21;2032-07-04
TI000146;FR0025815693;ACTION;T000307;7733.64;4792.83;EUR;2023-07-09;2029-02-19
TI000147;FR0013059103;TCN;T000026;7713.4;1448.05;EUR;2020-05-25;2033-10-03
TI000148;FR0099969180;TCN;T000250;9971.32;2155.95;EUR;2011-02-25;2032-04-05
TI000149;FR0057698903;OPCVM;T000499;9798.19;1312.59;EUR;2013-08-30;2028-02-27
TI000150;FR0091936801;ACTION;T000358;4632.67;4232.83;EUR;2022-04-05;2033-02-19
TI000151;FR0061984346;TCN;T000472;2751.94;10447.23;EUR;2019-02-17;2025-02-04
TI000152;FR0034533855;ACTION;T000420;8565.87;8369.19;EUR;2021-02-24;2026-01-13
TI000153;FR0074895195;OBLIGATION;T000353;7008.59;6148.0;EUR;2016-08-13;2027-09-28
TI000154;FR0056183000;OPCVM;T000078;8502.23;9004.28;EUR;2013-07-27;2031-05-14
TI000155;FR0073299370;OPCVM;T000290;5537.06;7248.34;EUR;2019-03-03;2031-06-26
TI000156;FR0010683225;OBLIGATION;T000242;8851.48;9202.62;EUR;2016-12-14;2027-09-19
TI000157;FR0063990950;OBLIGATION;T000211;6551.69;5378.87;EUR;2022-08-12;2028-03-24
TI000158;FR0061605705;OBLIGATION;T000012;5557.45;11299.29;EUR;2018-01-10;2027-01-29
TI000159;FR0073376296;TCN;T000061;5230.33;9483.45;EUR;2015-01-15;2030-04-30
TI000160;FR0014474767;OPCVM;T000425;9359.52;4986.11;EUR;2019-04-27;2025-04-10
TI000161;FR0022908731;OPCVM;T000333;1240.74;589.04;EUR;2014-08-24;2030-04-26
TI000162;FR0023610161;ACTION;T000077;9890.43;7728.4;EUR;2010-01-11;2032-09-13
TI000163;FR0082595927;OBLIGATION;T000131;8457.58;5326.53;EUR;2011-05-03;2034-10-22
TI000164;FR0022836853;OPCVM;T000351;7676.03;4249.5;EUR;2013-05-23;2027-12-10
TI000165;FR0085022328;ACTION;T000351;9956.97;11978.15;EUR;2023-12-31;2026-12-20
TI000166;FR0037715699;ACTION;T000032;1850.31;11728.97;EUR;2012-09-16;2035-07-17
TI000167;FR0036353263;OBLIGATION;T000492;2952.97;9009.9;EUR;2012-09-04;2024-05-17
TI000168;FR0029700950;OBLIGATION;T000320;194.63;3281.81;EUR;2016-03-23;2024-07-31
TI000169;FR0053649268;ACTION;T000310;9915.05;8114.38;EUR;2018-10-29;2029-07-20
TI000170;FR0086481014;OBLIGATION;T000371;7132.27;8256.91;EUR;2011-06-12;2035-09-18
TI000171;FR0029849419;TCN;T000384;178.62;5764.06;EUR;2016-02-16;2028-12-23
TI000172;FR0024024033;ACTION;T000371;1965.19;970.72;EUR;2013-11-05;2027-07-29
TI000173;FR0015173108;ACTION;T000330;7962.19;4186.82;EUR;2023-07-17;2035-04-10
TI000174;FR0071200002;OPCVM;T000393;8698.28;5599.5;EUR;2018-02-21;2031-12-12
TI000175;FR0057711091;ACTION;T000254;3667.74;9948.14;EUR;2012-05-03;2030-10-19
TI000176;FR0066793742;OBLIGATION;T000475;8864.27;998.01;EUR;2012-01-06;2034-04-13
TI000177;FR0018718742;OBLIGATION;T000455;860.78;1243.69;EUR;2014-12-27;2035-08-02
TI000178;FR0022835939;ACTION;T000256;1165.36;4850.65;EUR;2018-10-31;2032-07-06
TI000179;FR0089078626;OBLIGATION;T000017;8132.12;2987.44;EUR;2023-04-13;2030-02-11
TI000180;FR0090101043;OPCVM;T000294;3411.78;10526.42;EUR;2019-11-02;2032-02-16
TI000181;FR0013945756;TCN;T000150;9607.74;11480.49;EUR;2023-07-01;2030-08-11
TI000182;FR0041833571;OPCVM;T000001;5982.77;5487.03;EUR;2021-04-13;2031-07-17
TI000183;FR0098284634;TCN;T000409;2610.29;10479.6;EUR;2019-08-02;2033-02-09
TI000184;FR0082494112;TCN;T000059;3346.03;4943.61;EUR;2018-03-11;2034-01-03
TI000185;FR0046403668;TCN;T000006;6754.09;5055.21;EUR;2011-01-06;2024-02-25
TI000186;FR0035279659;TCN;T000086;4525.35;11331.28;EUR;2015-04-10;2027-03-28
TI000187;FR0073393697;OPCVM;T000200;7539.46;7866.62;EUR;2010-08-11;2032-11-30
TI000188;FR0075972630;TCN;T000321;8151.06;8818.79;EUR;2012-05-09;2030-07-26
TI000189;FR0076867269;ACTION;T000130;2484.9;10221.06;EUR;2018-05-13;2029-03-21
TI000190;FR0040324625;ACTION;T000127;886.61;6539.21;EUR;2020-10-23;2031-03-05
TI000191;FR0087945895;OPCVM;T000048;9282.32;11128.79;EUR;2019-01-24;2025-09-28
TI000192;FR0028450553;OPCVM;T000303;7407.32;1158.85;EUR;2017-01-18;2034-09-20
TI000193;FR0035229683;TCN;T000007;8153.04;7216.24;EUR;2010-04-28;2032-06-27
TI000194;FR0052112751;OBLIGATION;T000186;2835.51;4913.23;EUR;2010-10-11;2035-01-05
TI000195;FR0043746780;TCN;T000063;3785.15;11949.48;EUR;2021-10-05;2034-08-28
TI000196;FR0027836066;OPCVM;T000109;6200.06;7307.0;EUR;2010-02-03;2025-11-18
TI000197;FR0099531083;ACTION;T000427;7667.35;9864.27;EUR;2020-02-11;2028-12-16
TI000198;FR0088710339;ACTION;T000203;8923.84;6608.41;EUR;2018-11-16;2024-06-13
TI000199;FR0072647308;OPCVM;T000212;8506.66;211.17;EUR;2018-08-20;2035-07-29
TI000200;FR0049406292;ACTION;T000216;6409.67;5264.28;EUR;2022-11-24;2035-10-25
