identifiant_tiers;type_tiers;raison_sociale;code_naf;pays_residence;segment_clientele;notation_interne;date_entree_relation;est_defaut;date_defaut
T000021;PERSONNE_MORALE;Client 21;19.28;FRA;PROFESSIONNEL;;2007-01-25;true;
T000022;PERSONNE_MORALE;Client 22;52.70;DEU;ETI;B2;2000-10-02;false;
T000023;PERSONNE_MORALE;Client 23;33.56;GBR;ETI;B1;2017-09-15;false;
T000024;ETABLISSEMENT_CREDIT;Client 24;24.29;FRA;PME;C1;2006-11-15;false;
T000025;PERSONNE_MORALE;Client 25;44.72;ESP;GRANDE_ENTREPRISE;B2;2006-03-06;false;
T000026;PERSONNE_PHYSIQUE;;;ESP;PROFESSIONNEL;;2000-04-16;false;
T000027;ETABLISSEMENT_CREDIT;Client 27;92.78;FRA;PARTICULIER;B1;2007-05-15;false;
T000028;ETABLISSEMENT_CREDIT;Client 28;64.21;GBR;ETI;;2015-11-29;false;
T000029;PERSONNE_MORALE;Client 29;60.29;ESP;PARTICULIER;A1;2021-09-23;true;2022-08-20
T000030;PERSONNE_PHYSIQUE;;;GBR;PROFESSIONNEL;B2;2014-04-10;false;
T000031;PERSONNE_MORALE;Client 31;88.25;FRA;PROFESSIONNEL;B1;2002-03-04;false;
T000032;PERSONNE_PHYSIQUE;;;FRA;PME;B1;2014-05-20;false;
T000033;ETABLISSEMENT_CREDIT;Client 33;38.28;ESP;GRANDE_ENTREPRISE;C2;2022-10-19;false;
T000034;PERSONNE_PHYSIQUE;;;DEU;PROFESSIONNEL;;2010-11-27;false;
T000035;PERSONNE_MORALE;Client 35;27.77;DEU;PME;A2;2010-11-19;false;
T000036;ETABLISSEMENT_CREDIT;Client 36;66.74;ITA;PARTICULIER;C1;2023-11-24;false;
T000037;ETABLISSEMENT_CREDIT;Client 37;33.14;ESP;PME;B2;2007-04-09;false;
T000038;PERSONNE_MORALE;Client 38;92.68;ESP;PARTICULIER;A2;2001-05-06;false;
T000039;ETABLISSEMENT_CREDIT;Client 39;91.50;ESP;PROFESSIONNEL;D;2013-03-11;false;
T000040;PERSONNE_PHYSIQUE;;;GBR;ETI;A1;2014-08-19;false;
T000041;PERSONNE_MORALE;Client 41;23.34;DEU;GRANDE_ENTREPRISE;;2017-07-10;false;
T000042;ETABLISSEMENT_CREDIT;Client 42;65.98;GBR;PME;D;2012-01-09;false;
T000043;PERSONNE_MORALE;Client 43;61.70;DEU;PARTICULIER;B1;2008-12-16;true;2024-01-01
T000044;ETABLISSEMENT_CREDIT;Client 44;70.99;ITA;PME;B2;2009-05-02;false;
T000045;PERSONNE_PHYSIQUE;;;GBR;PROFESSIONNEL;B1;2017-05-15;false;
T000046;PERSONNE_PHYSIQUE;;;FRA;PARTICULIER;A2;2013-04-29;false;
T000047;PERSONNE_MORALE;Client 47;16.74;GBR;PME;B2;2017-03-09;false;
T000048;ETABLISSEMENT_CREDIT;Client 48;47.36;GBR;ETI;C2;2013-10-19;false;
T000049;PERSONNE_MORALE;Client 49;16.18;FRA;PROFESSIONNEL;D;2009-11-04;false;
T000050;PERSONNE_MORALE;Client 50;39.85;ESP;PROFESSIONNEL;A2;2011-02-15;false;
T000051;PERSONNE_PHYSIQUE;;;FRA;PME;A1;2001-10-25;false;
T000052;PERSONNE_PHYSIQUE;;;DEU;ETI;C2;2011-11-20;false;
T000053;PERSONNE_PHYSIQUE;;;ITA;ETI;C1;2020-08-21;false;
T000054;PERSONNE_PHYSIQUE;;;FRA;PROFESSIONNEL;D;2006-07-02;false;
T000055;PERSONNE_PHYSIQUE;;;ESP;PME;A1;2023-10-25;false;
T000056;PERSONNE_MORALE;Client 56;16.57;ESP;GRANDE_ENTREPRISE;A2;2007-02-18;false;
T000057;PERSONNE_PHYSIQUE;;;ITA;ETI;C1;2021-07-06;false;
T000058;PERSONNE_MORALE;Client 58;88.64;ESP;PARTICULIER;;2000-02-21;false;
T000059;PERSONNE_PHYSIQUE;;;ESP;ETI;B1;2015-03-10;false;
T000060;PERSONNE_MORALE;Client 60;66.20;ITA;PME;A2;2010-08-26;false;
T000061;ETABLISSEMENT_CREDIT;Client 61;42.93;DEU;ETI;B2;2023-06-05;false;
T000062;ETABLISSEMENT_CREDIT;Client 62;66.25;ESP;ETI;A1;2019-06-15;false;
T000063;PERSONNE_MORALE;Client 63;70.64;ITA;GRANDE_ENTREPRISE;B1;2022-06-29;false;
T000064;PERSONNE_MORALE;Client 64;13.22;DEU;PME;A1;2000-05-25;false;
T000065;PERSONNE_MORALE;Client 65;82.62;GBR;PROFESSIONNEL;;2004-04-27;false;
T000066;PERSONNE_MORALE;Client 66;32.80;DEU;PME;C2;2001-01-25;false;
T000067;ETABLISSEMENT_CREDIT;Client 67;76.22;ESP;PME;B1;2008-04-19;true;2021-12-11
T000068;ETABLISSEMENT_CREDIT;Client 68;33.91;GBR;PROFESSIONNEL;C1;2009-12-02;false;
T000069;PERSONNE_PHYSIQUE;;;DEU;PME;C2;2003-11-21;false;
T000070;PERSONNE_PHYSIQUE;;;ITA;PROFESSIONNEL;B2;2016-02-20;false;
T000071;PERSONNE_MORALE;Client 71;30.76;ITA;PME;;2005-07-18;false;
T000072;PERSONNE_MORALE;Client 72;63.30;DEU;GRANDE_ENTREPRISE;B1;2004-10-29;false;
T000073;ETABLISSEMENT_CREDIT;Client 73;71.70;FRA;GRANDE_ENTREPRISE;;2005-06-13;false;
T000074;ETABLISSEMENT_CREDIT;Client 74;17.80;GBR;GRANDE_ENTREPRISE;C2;2001-04-09;false;
T000075;PERSONNE_MORALE;Client 75;24.60;GBR;ETI;B1;2013-05-04;false;
T000076;ETABLISSEMENT_CREDIT;Client 76;52.98;GBR;ETI;A1;2004-01-08;false;
T000077;ETABLISSEMENT_CREDIT;Client 77;88.63;DEU;PARTICULIER;B1;2020-12-05;false;
T000078;ETABLISSEMENT_CREDIT;Client 78;51.27;FRA;PARTICULIER;A1;2011-05-13;false;
T000079;PERSONNE_PHYSIQUE;;;FRA;PARTICULIER;A1;2014-10-23;false;
T000080;PERSONNE_PHYSIQUE;;;GBR;PROFESSIONNEL;C2;2016-10-25;false;
T000081;PERSONNE_PHYSIQUE;;;ITA;PARTICULIER;C2;2022-03-05;false;
T000082;ETABLISSEMENT_CREDIT;Client 82;72.33;FRA;PME;;2012-12-09;false;
T000083;PERSONNE_MORALE;Client 83;10.84;GBR;PME;A2;2016-07-09;false;
T000084;PERSONNE_MORALE;Client 84;47.84;FRA;PROFESSIONNEL;D;2022-12-10;false;
T000085;PERSONNE_MORALE;Client 85;55.72;GBR;PROFESSIONNEL;B2;2005-10-20;false;
T000086;PERSONNE_PHYSIQUE;;;DEU;GRANDE_ENTREPRISE;A1;2018-03-13;false;
T000087;ETABLISSEMENT_CREDIT;Client 87;48.79;FRA;ETI;A2;2014-09-18;false;
T000088;ETABLISSEMENT_CREDIT;Client 88;70.36;DEU;ETI;A1;2008-10-06;false;
T000089;PERSONNE_PHYSIQUE;;;ITA;PARTICULIER;B1;2005-04-21;false;
T000090;PERSONNE_MORALE;Client 90;13.31;GBR;PME;C1;2022-01-24;false;
T000091;PERSONNE_MORALE;Client 91;74.80;DEU;PROFESSIONNEL;B2;2023-02-23;false;
T000092;PERSONNE_PHYSIQUE;;;ESP;PROFESSIONNEL;C1;2002-10-22;false;
T000093;PERSONNE_PHYSIQUE;;;GBR;ETI;;2001-06-14;false;
T000094;PERSONNE_PHYSIQUE;;;ITA;ETI;A1;2002-10-06;false;
T000095;ETABLISSEMENT_CREDIT;Client 95;32.30;ITA;GRANDE_ENTREPRISE;B1;2006-09-27;false;
T000096;ETABLISSEMENT_CREDIT;Client 96;71.25;ESP;PME;D;2010-04-07;false;
T000097;PERSONNE_MORALE;Client 97;39.17;ESP;PARTICULIER;D;2021-05-14;false;
T000098;PERSONNE_MORALE;Client 98;57.79;FRA;PROFESSIONNEL;D;2009-06-03;false;
T000099;ETABLISSEMENT_CREDIT;Client 99;94.22;FRA;GRANDE_ENTREPRISE;D;2013-01-29;false;
T000100;PERSONNE_MORALE;Client 100;18.48;ITA;ETI;C2;2001-12-16;false;
T000101;ETABLISSEMENT_CREDIT;Client 101;11.12;GBR;PARTICULIER;B1;2021-06-10;false;
T000102;PERSONNE_MORALE;Client 102;95.78;FRA;ETI;C1;2003-11-24;false;
T000103;PERSONNE_MORALE;Client 103;24.40;DEU;PARTICULIER;A1;2014-08-13;false;
T000104;ETABLISSEMENT_CREDIT;Client 104;39.90;GBR;PROFESSIONNEL;;2004-04-12;false;
T000105;ETABLISSEMENT_CREDIT;Client 105;11.13;FRA;GRANDE_ENTREPRISE;A1;2014-06-07;false;
T000106;ETABLISSEMENT_CREDIT;Client 106;58.41;FRA;GRANDE_ENTREPRISE;A2;2017-06-04;false;
T000107;PERSONNE_PHYSIQUE;;;GBR;PME;;2019-09-08;false;
T000108;PERSONNE_MORALE;Client 108;25.28;DEU;PARTICULIER;C1;2023-10-19;false;
T000109;PERSONNE_MORALE;Client 109;52.23;ITA;PARTICULIER;C2;2013-05-08;false;
T000110;ETABLISSEMENT_CREDIT;Client 110;26.59;FRA;GRANDE_ENTREPRISE;D;2015-10-15;false;
T000111;PERSONNE_PHYSIQUE;;;ITA;ETI;B1;2001-12-30;false;
T000112;ETABLISSEMENT_CREDIT;Client 112;55.26;DEU;PROFESSIONNEL;B2;2019-04-23;false;
T000113;ETABLISSEMENT_CREDIT;Client 113;93.88;GBR;PROFESSIONNEL;A2;2013-05-13;false;
T000114;ETABLISSEMENT_CREDIT;Client 114;73.60;GBR;GRANDE_ENTREPRISE;C2;2011-11-19;false;
T000115;ETABLISSEMENT_CREDIT;Client 115;22.25;ESP;PROFESSIONNEL;;2005-04-26;false;
T000116;PERSONNE_PHYSIQUE;;;ITA;PME;A1;2008-07-10;false;
T000117;PERSONNE_PHYSIQUE;;;GBR;PARTICULIER;D;2007-09-20;false;
T000118;PERSONNE_PHYSIQUE;;;FRA;PME;C2;2002-05-11;false;
T000119;PERSONNE_MORALE;Client 119;10.74;ESP;GRANDE_ENTREPRISE;D;2008-11-08;false;
T000120;ETABLISSEMENT_CREDIT;Client 120;56.65;ITA;ETI;B2;2020-06-21;false;
T000121;ETABLISSEMENT_CREDIT;Client 121;61.58;FRA;PME;;2016-02-25;false;
T000122;PERSONNE_PHYSIQUE;;;DEU;PROFESSIONNEL;B1;2013-01-12;false;
T000123;ETABLISSEMENT_CREDIT;Client 123;23.52;ESP;PROFESSIONNEL;C1;2023-07-12;false;
T000124;PERSONNE_PHYSIQUE;;;GBR;PARTICULIER;B2;2018-05-11;false;
T000125;ETABLISSEMENT_CREDIT;Client 125;23.61;DEU;ETI;B2;2001-05-01;false;
T000126;ETABLISSEMENT_CREDIT;Client 126;24.98;ESP;PARTICULIER;B2;2007-12-13;false;
T000127;PERSONNE_PHYSIQUE;;;DEU;PROFESSIONNEL;C2;2013-06-20;false;
T000128;PERSONNE_MORALE;Client 128;57.57;GBR;GRANDE_ENTREPRISE;D;2003-03-27;false;
T000129;ETABLISSEMENT_CREDIT;Client 129;49.99;DEU;PME;;2013-12-05;false;
T000130;PERSONNE_MORALE;Client 130;85.72;DEU;ETI;B1;2015-11-15;false;
T000131;PERSONNE_MORALE;Client 131;56.95;ITA;PARTICULIER;D;2018-02-19;false;
T000132;ETABLISSEMENT_CREDIT;Client 132;76.69;FRA;PME;A2;2016-06-10;false;
T000133;PERSONNE_PHYSIQUE;;;ITA;PME;C2;2012-09-23;false;
T000134;ETABLISSEMENT_CREDIT;Client 134;87.22;DEU;PARTICULIER;B2;2022-09-25;false;
T000135;ETABLISSEMENT_CREDIT;Client 135;62.96;FRA;PROFESSIONNEL;C2;2013-07-29;false;
T000136;PERSONNE_PHYSIQUE;;;ITA;ETI;B1;2009-06-23;false;
T000137;ETABLISSEMENT_CREDIT;Client 137;88.98;GBR;ETI;;2005-11-01;false;
T000138;PERSONNE_MORALE;Client 138;67.39;ITA;ETI;B2;2015-08-04;false;
T000139;ETABLISSEMENT_CREDIT;Client 139;50.75;DEU;ETI;C2;2012-02-11;false;
T000140;ETABLISSEMENT_CREDIT;Client 140;65.20;GBR;PME;B2;2003-10-06;false;
T000141;PERSONNE_MORALE;Client 141;34.22;GBR;PROFESSIONNEL;A1;2011-02-09;false;
T000142;ETABLISSEMENT_CREDIT;Client 142;24.79;GBR;ETI;;2020-12-31;false;
T000143;ETABLISSEMENT_CREDIT;Client 143;92.51;FRA;ETI;B2;2022-05-29;false;
T000144;PERSONNE_PHYSIQUE;;;FRA;PROFESSIONNEL;B2;2001-03-02;false;
T000145;ETABLISSEMENT_CREDIT;Client 145;76.60;ESP;PARTICULIER;D;2020-05-29;false;
T000146;PERSONNE_PHYSIQUE;;;ESP;PARTICULIER;C1;2008-11-07;true;2022-04-02
T000147;ETABLISSEMENT_CREDIT;Client 147;88.50;ESP;PROFESSIONNEL;D;2017-11-13;false;
T000148;PERSONNE_MORALE;Client 148;50.81;GBR;PARTICULIER;B1;2023-11-26;false;
T000149;ETABLISSEMENT_CREDIT;Client 149;26.34;DEU;PME;D;2009-12-01;false;
T000150;ETABLISSEMENT_CREDIT;Client 150;14.77;ITA;PME;D;2013-12-26;false;
T000151;PERSONNE_PHYSIQUE;;;DEU;PARTICULIER;A1;2013-06-07;false;
T000152;PERSONNE_MORALE;Client 152;70.68;ESP;PARTICULIER;B2;2014-04-07;false;
T000153;PERSONNE_PHYSIQUE;;;FRA;GRANDE_ENTREPRISE;A1;2021-03-17;false;
T000154;ETABLISSEMENT_CREDIT;Client 154;66.37;ITA;PROFESSIONNEL;B1;2006-05-27;false;
T000155;PERSONNE_PHYSIQUE;;;DEU;ETI;C2;2006-12-02;false;
T000156;PERSONNE_PHYSIQUE;;;ITA;ETI;A2;2018-09-29;false;
T000157;ETABLISSEMENT_CREDIT;Client 157;14.82;FRA;PROFESSIONNEL;;2016-08-14;false;
T000158;PERSONNE_PHYSIQUE;;;ESP;GRANDE_ENTREPRISE;B1;2018-10-25;false;
T000159;ETABLISSEMENT_CREDIT;Client 159;12.11;DEU;PME;A1;2021-07-12;false;
T000160;PERSONNE_PHYSIQUE;;;GBR;PROFESSIONNEL;D;2015-02-28;true;2022-10-30
T000161;ETABLISSEMENT_CREDIT;Client 161;18.10;ESP;PROFESSIONNEL;B1;2013-01-22;true;2022-02-13
T000162;PERSONNE_MORALE;Client 162;82.14;FRA;PME;B2;2015-08-14;false;
T000163;PERSONNE_MORALE;Client 163;17.46;FRA;PROFESSIONNEL;A1;2021-07-27;false;
T000164;PERSONNE_PHYSIQUE;;;DEU;GRANDE_ENTREPRISE;;2022-09-12;false;
T000165;PERSONNE_PHYSIQUE;;;FRA;PROFESSIONNEL;C1;2004-02-29;false;
T000166;PERSONNE_MORALE;Client 166;99.29;DEU;ETI;C1;2023-12-05;false;
T000167;ETABLISSEMENT_CREDIT;Client 167;80.36;FRA;PME;C1;2004-12-21;false;
T000168;ETABLISSEMENT_CREDIT;Client 168;72.53;GBR;GRANDE_ENTREPRISE;A1;2023-12-31;false;
T000169;PERSONNE_PHYSIQUE;;;FRA;PARTICULIER;D;2022-08-23;false;
T000170;ETABLISSEMENT_CREDIT;Client 170;17.94;ITA;PARTICULIER;;2012-09-05;false;
T000171;ETABLISSEMENT_CREDIT;Client 171;54.32;FRA;ETI;A2;2020-01-28;true;2022-05-03
T000172;ETABLISSEMENT_CREDIT;Client 172;95.41;GBR;PROFESSIONNEL;A2;2005-01-04;false;
T000173;ETABLISSEMENT_CREDIT;Client 173;76.17;ESP;PME;C2;2005-10-06;false;
T000174;PERSONNE_PHYSIQUE;;;DEU;PROFESSIONNEL;B2;2004-11-02;false;
T000175;PERSONNE_MORALE;Client 175;86.65;FRA;PME;A2;2001-09-18;false;
T000176;ETABLISSEMENT_CREDIT;Client 176;60.16;DEU;PARTICULIER;C1;2023-11-22;false;
T000177;PERSONNE_MORALE;Client 177;13.54;FRA;PME;A1;2023-07-18;false;
T000178;PERSONNE_PHYSIQUE;;;DEU;PROFESSIONNEL;A2;2021-11-25;false;
T000179;PERSONNE_MORALE;Client 179;19.70;GBR;PARTICULIER;B2;2002-05-19;false;
T000180;ETABLISSEMENT_CREDIT;Client 180;22.70;FRA;PME;B1;2006-12-21;false;
T000181;ETABLISSEMENT_CREDIT;Client 181;56.35;ESP;ETI;A2;2023-01-28;false;
T000182;PERSONNE_MORALE;Client 182;83.86;GBR;PME;C1;2016-04-05;false;
T000183;PERSONNE_MORALE;Client 183;53.95;DEU;GRANDE_ENTREPRISE;B1;2000-09-28;false;
T000184;PERSONNE_MORALE;Client 184;52.61;FRA;PROFESSIONNEL;A2;2011-02-26;false;
T000185;PERSONNE_PHYSIQUE;;;GBR;PROFESSIONNEL;C1;2004-08-27;false;
T000186;PERSONNE_PHYSIQUE;;;ITA;GRANDE_ENTREPRISE;B1;2016-01-18;false;
T000187;ETABLISSEMENT_CREDIT;Client 187;93.10;ESP;ETI;;2020-05-21;false;
T000188;PERSONNE_MORALE;Client 188;82.31;ITA;GRANDE_ENTREPRISE;A1;2003-08-19;false;
T000189;ETABLISSEMENT_CREDIT;Client 189;61.53;FRA;PROFESSIONNEL;B2;2013-09-29;false;
T000190;ETABLISSEMENT_CREDIT;Client 190;67.93;FRA;PROFESSIONNEL;A2;2000-02-24;false;
T000191;PERSONNE_MORALE;Client 191;50.81;ESP;GRANDE_ENTREPRISE;A2;2023-08-21;false;
T000192;PERSONNE_MORALE;Client 192;71.15;ESP;ETI;C1;2018-07-28;false;
T000193;PERSONNE_MORALE;Client 193;83.66;GBR;PARTICULIER;D;2020-05-11;false;
T000194;PERSONNE_MORALE;Client 194;34.83;ITA;GRANDE_ENTREPRISE;B1;2016-06-27;false;
T000195;ETABLISSEMENT_CREDIT;Client 195;70.23;ESP;PARTICULIER;;2023-08-05;false;
T000196;ETABLISSEMENT_CREDIT;Client 196;10.31;ESP;GRANDE_ENTREPRISE;;2001-01-19;false;
T000197;ETABLISSEMENT_CREDIT;Client 197;17.67;FRA;PROFESSIONNEL;D;2007-09-05;false;
T000198;PERSONNE_MORALE;Client 198;51.88;GBR;PME;A2;2009-08-06;true;2021-01-02
T000199;PERSONNE_PHYSIQUE;;;DEU;GRANDE_ENTREPRISE;A1;2002-08-02;false;
T000200;PERSONNE_PHYSIQUE;;;ESP;PROFESSIONNEL;A2;2012-08-13;false;
T000201;PERSONNE_PHYSIQUE;;;GBR;PME;;2009-11-06;false;
T000202;PERSONNE_MORALE;Client 202;26.62;GBR;PROFESSIONNEL;B2;2022-05-21;false;
T000203;PERSONNE_MORALE;Client 203;42.93;ITA;PROFESSIONNEL;B1;2016-11-06;false;
T000204;PERSONNE_MORALE;Client 204;78.63;FRA;GRANDE_ENTREPRISE;D;2019-09-22;false;
T000205;PERSONNE_PHYSIQUE;;;FRA;GRANDE_ENTREPRISE;D;2020-05-30;false;
T000206;PERSONNE_PHYSIQUE;;;ESP;ETI;A2;2022-06-03;false;
T000207;PERSONNE_PHYSIQUE;;;FRA;PARTICULIER;C1;2007-07-21;false;
T000208;PERSONNE_MORALE;Client 208;74.72;ITA;PARTICULIER;D;2003-09-03;false;
T000209;ETABLISSEMENT_CREDIT;Client 209;54.44;ESP;PARTICULIER;D;2005-05-28;false;
T000210;ETABLISSEMENT_CREDIT;Client 210;45.31;FRA;PARTICULIER;C1;2013-10-13;false;
T000211;PERSONNE_MORALE;Client 211;80.92;GBR;PARTICULIER;A2;2004-03-25;true;2021-12-25
T000212;PERSONNE_MORALE;Client 212;54.79;FRA;PARTICULIER;D;2004-12-01;false;
T000213;PERSONNE_MORALE;Client 213;36.70;ESP;ETI;C2;2009-08-23;false;
T000214;PERSONNE_MORALE;Client 214;86.57;ESP;PME;B2;2011-06-26;false;
T000215;ETABLISSEMENT_CREDIT;Client 215;22.61;GBR;ETI;;2022-07-14;false;
T000216;PERSONNE_PHYSIQUE;;;DEU;PARTICULIER;C2;2009-10-02;false;
T000217;ETABLISSEMENT_CREDIT;Client 217;91.39;FRA;ETI;C1;2000-11-02;false;
T000218;ETABLISSEMENT_CREDIT;Client 218;46.91;ESP;ETI;;2019-11-03;false;
T000219;ETABLISSEMENT_CREDIT;Client 219;69.40;ITA;PME;B1;2009-12-23;false;
T000220;ETABLISSEMENT_CREDIT;Client 220;94.75;FRA;PARTICULIER;C2;2020-04-19;false;
T000221;ETABLISSEMENT_CREDIT;Client 221;93.36;GBR;GRANDE_ENTREPRISE;B2;2001-08-19;false;
T000222;ETABLISSEMENT_CREDIT;Client 222;10.81;ESP;PROFESSIONNEL;B2;2020-12-03;false;
T000223;ETABLISSEMENT_CREDIT;Client 223;25.12;ITA;ETI;C2;2016-04-17;false;
T000224;PERSONNE_MORALE;Client 224;70.97;FRA;PROFESSIONNEL;A1;2015-10-31;false;
T000225;ETABLISSEMENT_CREDIT;Client 225;79.68;GBR;PROFESSIONNEL;D;2022-01-30;false;
T000226;PERSONNE_PHYSIQUE;;;DEU;PME;A1;2017-01-23;false;
T000227;PERSONNE_PHYSIQUE;;;DEU;GRANDE_ENTREPRISE;C2;2017-06-01;false;
T000228;ETABLISSEMENT_CREDIT;Client 228;67.88;ITA;PROFESSIONNEL;A2;2004-03-30;false;
T000229;PERSONNE_PHYSIQUE;;;FRA;PROFESSIONNEL;C1;2000-10-19;false;
T000230;PERSONNE_MORALE;Client 230;41.95;GBR;ETI;C2;2020-08-09;false;
T000231;PERSONNE_PHYSIQUE;;;DEU;PARTICULIER;C2;2018-12-24;false;
T000232;PERSONNE_PHYSIQUE;;;GBR;PME;C1;2004-08-20;false;
T000233;ETABLISSEMENT_CREDIT;Client 233;49.45;FRA;PROFESSIONNEL;B1;2022-04-16;false;
T000234;PERSONNE_PHYSIQUE;;;ESP;GRANDE_ENTREPRISE;A2;2010-03-30;false;
T000235;ETABLISSEMENT_CREDIT;Client 235;84.60;FRA;PARTICULIER;B2;2020-10-17;false;
T000236;PERSONNE_PHYSIQUE;;;DEU;ETI;B2;2020-08-25;false;
T000237;ETABLISSEMENT_CREDIT;Client 237;19.75;ESP;ETI;A2;2001-06-14;false;
T000238;PERSONNE_MORALE;Client 238;49.51;ESP;ETI;A1;2022-07-15;false;
T000239;PERSONNE_MORALE;Client 239;14.43;GBR;PARTICULIER;B2;2009-08-01;false;
T000240;ETABLISSEMENT_CREDIT;Client 240;10.45;GBR;PROFESSIONNEL;D;2013-04-22;false;
T000241;ETABLISSEMENT_CREDIT;Client 241;80.53;ITA;ETI;A2;2006-04-01;true;2024-03-04
T000242;PERSONNE_MORALE;Client 242;20.65;ITA;PROFESSIONNEL;D;2000-08-16;false;
T000243;PERSONNE_PHYSIQUE;;;FRA;GRANDE_ENTREPRISE;A1;2004-09-09;false;
T000244;PERSONNE_PHYSIQUE;;;GBR;GRANDE_ENTREPRISE;A2;2008-10-25;false;
T000245;PERSONNE_PHYSIQUE;;;GBR;PME;;2022-04-04;false;
T000246;PERSONNE_MORALE;Client 246;20.71;GBR;PME;A1;2009-02-10;false;
T000247;PERSONNE_PHYSIQUE;;;FRA;PME;A1;2014-01-09;false;
T000248;ETABLISSEMENT_CREDIT;Client 248;16.74;ITA;PME;;2015-06-11;false;
T000249;PERSONNE_MORALE;Client 249;73.97;DEU;GRANDE_ENTREPRISE;;2018-12-08;false;
T000250;PERSONNE_MORALE;Client 250;97.13;DEU;GRANDE_ENTREPRISE;D;2007-07-23;false;
T000251;PERSONNE_PHYSIQUE;;;ITA;PROFESSIONNEL;;2018-12-15;false;
T000252;ETABLISSEMENT_CREDIT;Client 252;73.70;ITA;PROFESSIONNEL;A1;2001-09-04;false;
T000253;ETABLISSEMENT_CREDIT;Client 253;53.49;DEU;PARTICULIER;A1;2010-09-21;false;
T000254;PERSONNE_MORALE;Client 254;76.56;ESP;GRANDE_ENTREPRISE;A1;2009-10-23;false;
T000255;PERSONNE_MORALE;Client 255;88.11;FRA;PME;A1;2002-09-17;false;
T000256;ETABLISSEMENT_CREDIT;Client 256;59.73;ESP;PARTICULIER;;2002-07-14;false;
T000257;ETABLISSEMENT_CREDIT;Client 257;77.24;ITA;PARTICULIER;A1;2015-03-20;false;
T000258;PERSONNE_MORALE;Client 258;59.96;ITA;PARTICULIER;C1;2003-08-16;false;
T000259;ETABLISSEMENT_CREDIT;Client 259;82.46;FRA;GRANDE_ENTREPRISE;A2;2018-08-04;false;
T000260;PERSONNE_PHYSIQUE;;;DEU;PARTICULIER;B1;2011-09-30;false;
T000261;PERSONNE_MORALE;Client 261;87.83;FRA;GRANDE_ENTREPRISE;B1;2000-11-10;false;
T000262;ETABLISSEMENT_CREDIT;Client 262;79.84;FRA;PROFESSIONNEL;A1;2006-02-21;false;
T000263;ETABLISSEMENT_CREDIT;Client 263;16.15;GBR;ETI;A1;2019-08-15;false;
T000264;PERSONNE_MORALE;Client 264;64.44;FRA;PROFESSIONNEL;;2022-08-31;false;
T000265;PERSONNE_PHYSIQUE;;;FRA;PME;A2;2003-06-20;false;
T000266;PERSONNE_PHYSIQUE;;;DEU;ETI;C2;2006-09-20;false;
T000267;PERSONNE_MORALE;Client 267;91.19;ITA;ETI;B1;2016-09-04;false;
T000268;PERSONNE_PHYSIQUE;;;DEU;PME;A1;2011-05-17;false;
T000269;ETABLISSEMENT_CREDIT;Client 269;75.19;DEU;GRANDE_ENTREPRISE;A1;2014-04-04;true;2024-10-14
T000270;PERSONNE_MORALE;Client 270;29.42;ESP;PROFESSIONNEL;B1;2001-03-30;false;
T000271;PERSONNE_PHYSIQUE;;;DEU;PARTICULIER;D;2023-12-27;false;
T000272;PERSONNE_PHYSIQUE;;;FRA;ETI;A1;2022-08-25;false;
